name,color
Azada_Lars,#747880
Vasco-Pais_Willem,#747880
Ferro_Inga,#747880
Calixto_Nils,#747880
Orilla_Kare,#747880
Orilla_Elsa,#747880
Calzas_Axel,#747880
Ovan_Bertrand,#747880
Frente_Birgitta,#747880
p106,#747880
Balas_Felix,#747880
Vann_Edvard,#747880
Fusil_Stenig,#747880
Sanjorge_Jr_Sten,#747880
Flecha_Sven,#747880
Strum_Orhan,#747880
Osvaldo_Hennie,#747880
Vann_Isia,#747880
Campo-Corrente_Ada,#747880
Barranco_Ingrid,#747880
Alcazar_Lucas,#747880
Herrero_Kanon,#747880
Nubarron_Adra,#747880
Tempestad_Brand,#747880
Bergen_Linnea,#747880
Bodrogi_Loreto,#747880
p107,#747880
p104,#747880
p101,#747880
p105,#747880
Borrasca_Isande,#747880
Lagos_Varja,#747880
Onda_Marin,#747880
Mies_Minke,#747880
Resumir_Felix,#747880
Cocinaro_Hideki,#747880
Baza_Isak,#747880
Frente_Vira,#747880
Dedos_Lidelse,#747880
Cazar_Gustav,#747880
