name,color
Atlanta_Hawks,#E03A3E
Boston_Celtics,#007A33
Brooklyn_Nets,#000000
Charlotte_Hornets,#1D1160
Chicago_Bulls,#CE1141
Cleveland_Cavaliers,#FFB81C
Dallas_Mavericks,#B8C4CA
Denver_Nuggets,#1D428A
Detroit_Pistons,#C8102E
Golden_State_Warriors,#006BB6
Houston_Rockets,#CE1141
Indiana_Pacers,#FDBB30
Los_Angeles_Clippers,#1D42BA
Los_Angeles_Lakers,#552583
Memphis_Grizzlies,#6189B9
Miami_Heat,#98002E
Milwaukee_Bucks,#EEE1C6
Minnesota_Timberwolves,#78BE20
New_Orleans_Pelicans,#85714D
New_York_Knicks,#F58426
Oklahoma_City_Thunder,#EF3B24
Orlando_Magic,#0077C0
Philadelphia_76ers,#551a8b
Phoenix_Suns,#B95915
Portland_Trail_Blazers,#B95915
Free_Agency,#555555
G-League,#a9a9a9
Sacramento_Kings,#5A2D81
San_Antonio_Spurs,#afafaf
Toronto_Raptors,#CE1141
Utah_Jazz,#00471B
Washington_Wizards,#002B5C
Seattle_Supersonics,#00653A
Dwyane_Wade,#444444
LeBron_James,#444444
Anthony_Davis,#444444
Kevin_Durant,#444444
Stephen_Curry,#444444
James_Harden,#444444
Kawhi_Leonard,#444444
Giannis_Antetokounmpo,#444444
Russell_Westbrook,#444444
Kyrie_Irving,#444444
Jimmy_Butler,#444444
Paul_George,#444444
Blake_Griffin,#444444
Draymond_Green,#444444
Isaiah_Thomas,#444444
Klay_Thompson,#444444
DeMar_DeRozan,#444444
Derrick_Rose,#444444
DeMarcus_Cousins,#444444
John_Wall,#444444
Steven_Adams,#444444
Kobe_Bryant,#444444
Chris_Paul,#444444
Zach_Lavine,#444444
Andrew_Wiggins,#444444
Matthew_Dellavedova,#444444
Brandon_Ingram,#444444
JaVale_McGee,#444444
Lance_Stephenson,#444444
JR_Smith,#444444
Jordan_Bell,#444444
Robert_Covington,#444444
Vince_Carter,#444444
Quinn_Cook,#444444
Seth_Curry,#444444
Andre_Drummond,#444444
Joel_Embiid,#444444
Kenneth_Faried,#444444
Kay_Felder,#444444
Aaron_Gordon,#444444
Gerald_Green,#444444
Pau_Gasol,#444444
Rudy_Gay,#444444
Marc_Gasol,#444444
Gordon_Hayward,#444444
Serge_Ibaka,#444444
DeAndre_Jordan,#444444
Kyle_Korver,#444444
Brook_Lopez,#444444
Kevon_Looney,#444444
Kevin_Love,#444444
Robin_Lopez,#444444
Malcolm_Miller,#444444
Ben_Moore,#444444
Dejounte_Murray,#444444
Shabazz_Napier,#444444
Jahlil_Okafor,#444444
Cedi_Osman,#444444
Kendrick_Perkins,#444444
Tony_Parker,#444444
Chandler_Parsons,#444444
Taurean_Prince,#444444
Kristaps_Porzingis,#444444
Ricky_Rubio,#444444
Terry_Rozier,#444444
Julius_Randle,#444444
Marcus_Smart,#444444
Jason_Smith,#444444
Mike_Scott,#444444
Jayson_Tatum,#444444
Jeff_Teague,#444444
Tristan_Thompson,#444444
Fred_VanVleet,#444444
David_West,#444444
Nick_Young,#444444
Zhou_Qi,#444444
Cody_Zeller,#444444
Ivica_Zubac,#444444
Jeremy_Lin,#444444
Delon_Wright,#444444
Jaylen_Brown,#444444
Brad_Wanamaker,#444444
CJ_Miles,#444444
Andre_Iguodala,#444444
Jonas_Jerebko,#444444
Semi_Ojeleye,#444444
Pascal_Siakam,#444444
Marcus_Morris,#444444
Robert_Williams,#444444
Jacob_Evans,#444444
Jonas_Valanciunas,#444444
Guerschon_Yabusele,#444444
Patrick_McCaw,#444444
Damion_Lee,#444444
Kyle_Lowry,#444444
Aron_Baynes,#444444
OG_Anunoby,#444444
Lucas_Nogueira,#444444
Jabari_Bird,#444444
Shaun_Livingston,#444444
Jonathan_Gibson,#444444
Damian_Jones,#444444
Al_Horford,#444444
Daniel_Theis,#444444
Norman_Powell,#444444
Pascal_Siakam,#444444
Delon_Wright,#444444
CJ_Miles,#444444
Malcolm_Miller,#444444
Malachi_Richardson,#444444
Lorenzo_Brown,#444444
Chris_Boucher,#444444
Danny_Green,#444444
Ben_Simmons,#444444
Joel_Embiid,#444444
Markelle_Fultz,#444444
JJ_Redick,#444444
Zhaire_Smith,#444444
Dario_Saric,#444444
Wilson_Chandler,#444444
Robert_Covington,#444444
Furkan_Korkmaz,#444444
TJ_McConnell,#444444
Landry_Shamet,#444444
Jonah_Bolden,#444444
Shake_Milton,#444444
Jerryd_Bayless,#444444
Amir_Johnson,#444444
Demetrius_Jackson,#444444
Mike_Muscala,#444444
James_Harden,#444444
Chris_Paul,#444444
Clint_Capela,#444444
Ryan_Anderson,#444444
Eric_Gordon,#444444
PJ_Tucker,#444444
Zhou_Qi,#444444
Michael_Carter-Williams,#444444
Vincent_Edwards,#444444
RJ_Hunter,#444444
Isaiah_Hartenstein,#444444
Markel_Brown,#444444
Andre_Roberson,#444444
Nerlens_Noel,#444444
Hamidou_Diallo,#444444
Dennis_Schroder,#444444
Jerami_Grant,#444444
Kyle_Singler,#444444
Alex_Abrines,#444444
Deonte_Burton,#444444
Raymond_Felton,#444444
Devon_Hall,#444444
Terrance_Ferguson,#444444
PJ_Dozier,#444444
Patrick_Patterson,#444444
Daniel_Hamilton,#444444
Kevin_Hervey,#444444
Donovan_Mitchell,#444444
Rudy_Gobert,#444444
Ricky_Rubio,#444444
Joe_Ingles,#444444
Grayson_Allen,#444444
Dante_Exum,#444444
Derrick_Favors,#444444
Alec_Burks,#444444
Raulzinho_Neto,#444444
Jae_Crowder,#444444
David_Stockton,#444444
Epke_Udoh,#444444
Georges_Niang,#444444
Thabo_Sefolosha,#444444
Tony_Bradley,#444444
Erik_McCree,#444444
Brandon_Ingram,#444444
Rajon_Rondo,#444444
Kyle_Kuzma,#444444
Luol_Deng,#444444
Josh_Hart,#444444
Andre_Ingram,#444444
Kentavious_Caldwell-Pope,#444444
Moritz_Wagner,#444444
Sviatoslav_Mykhailiuk,#444444
Isaac_Bonga,#444444
Travis_Wear,#444444
Ivica_Zubac,#444444
Alex_Caruso,#444444
