Name,Added,Citation issue,DOI,Graph feature,Authors,Dataset used,Dataset tag,Evaluation qual/quant,Evaluation type,Notes,link,year,paper type,dataset size,Conference,Technique,samples sum
Layout of Compound Directed Graphs,No,No,,"Compound graphs, Directed graphs",Georg Sander,no dataset,none,,,used in dagre,https://publikationen.sulb.uni-saarland.de/bitstream/20.500.11880/25862/1/tr-A03-96.pdf,,,,-,,
BaryLayout: A Simple Algorithm for Fast Drawing Large Graphs,No,No,,large,"https://ieeexplore.ieee.org/author/37964308300
; https://ieeexplore.ieee.org/author/37538234700","same as https://www.notion.so/An-Experimental-Comparison-of-Fast-Algorithms-for-Drawing-General-Large-Graphs-190e5036cf974a879b50614cfff525f1 ",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5677225,2010,algorithm,29?,CISE 2010,,29
An experimental comparison of four graph drawing algorithms,No,No,https://doi.org/10.1016/S0925-7721(96)00005-3,,"Di Battista, Giuseppe, Ashim Garg, Giuseppe Liotta, Roberto Tamassia, Emanuele Tassinari, and Francesco Vargiu",Rome-Lib,Rome-Lib,,,Origin of Rome-Lib,,2008,algorithm,11389,Discrete Optimization 2008,,11389
"Fast filtering and animation of large dynamic
networks",No,No,,"dynamic, large","Przemyslaw A Grabowicz1,2* , Luca Maria Aiello 3 and Filippo Menczer",their own (contains description of how they were made),custom,,,,https://epjdatascience.springeropen.com/track/pdf/10.1140/epjds/s13688-014-0027-8.pdf,2014,algorithm,4,EPJ data science 2018,,4
"A New Approach to Exact Crossing
Minimization",No,No,10.1007/978-3-540-87744-8_24,,"Markus Chimani, Petra Mutzel, and Immanuel Bomze",Rome-Lib,Rome-Lib,,,,http://tcs.uni-osnabrueck.de/_media/pubs/esa08_preprint_newcrnoilp_pdf.pdf,2008,algorithm,7172 (Rome-Lib non-trivial),ESA 2008,ILP,7172
"An ILP-based Proof System for the Crossing
Number Problem",No,No,,,Markus Chimani and Tilo Wiedera,"Rome-Lib, North Lib and their own","North Lib, Rome-Lib, custom",,,,https://drops.dagstuhl.de/opus/volltexte/2016/6380/pdf/LIPIcs-ESA-2016-29.pdf,,algorithm,3110 + 1277 + 145,ESA 2016,ILP,3110
Visualizing the evolution of compound digraphs with TimeArcTrees,No,No,,"Compound graphs, dynamic","• Martin Greilich   
•  Michael Burch   
•  Stephan Diehl   ",,,,,,https://dl.acm.org/doi/10.1111/j.1467-8659.2009.01451.x,2009,,,EuroVis 2009,,
The State of the Art in Visualizing Dynamic Graphs,No,No,,"Compound graphs, dynamic","Fabian Beck1, Michael Burch1, Stephan Diehl2, and Daniel Weiskopf",no experiment (just survey),none,,,"Good discussion on possible domains ",https://www.researchgate.net/publication/261723303_The_State_of_the_Art_in_Visualizing_Dynamic_Graphs,2014,survey,,EuroVis 2014,,
TimeArcs: Visualizing Fluctuations in Dynamic Networks,No,No,,"Layered graphs, dynamic, many layers, temporal event sequence",Dang et al.,no experiment,none,,,,https://www.cs.uic.edu/~tdang/TimeArcs/EuroVis2016/TimeArcs_Dang_EuroVis2016.pdf,2016,algorithm,,EuroVis 2016,,
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VAi0mIQAAAAJ&citation_for_view=VAi0mIQAAAAJ:ufrVoPGSRksC,No,No,,"Layered graphs, dynamic, hypergraphs, many layers",Di Bartolomeo et al.,"VIS collaboration network, INRIA collaboration network, sliced","INRIA collaboration network, VIS collaboration network",,,,https://files.osf.io/v1/resources/grvwu/providers/osfstorage/61a91f310db65903c183461f?action=download&direct&version=1,2022,algorithm,1300,EuroVis 2022,,1300
A Force-Directed Algorithm that Preserves Edge Crossing Properties,No,No,10.1016/S0020-0190(00)00042-9,,Fran ̧cois Bertault,no experiment,none,,,,https://link.springer.com/content/pdf/10.1007/3-540-46648-7_36.pdf,1999,,,GD 1999,,
Fast and Simple Horizontal Coordinate Assignment,No,No,10.1007/3-540-45848-4_3,"Layered graphs, many layers",Ulrik Brandes and Boris Kopf,no experiment,none,,,"used in dagre. paper has pseudocode.
be sure to check errors:
https://arxiv.org/pdf/2008.01252.pdf",http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=E944F4081AA4CCC56173B048E0F281D7?doi=10.1.1.64.4457&rep=rep1&type=pdf,,,,GD 2001,,
Applying Crossing Reduction Strategies to Layered Compound Graphs,No,No,10.5555/647554.729577,"Compound graphs, Layered graphs",Michael Forster,no dataset,none,,,used in dagre,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.59.3610&rep=rep1&type=pdf,2002,,,GD 2002,,
"An Experimental Study of Crossing
Minimization Heuristics",No,No,https://doi.org/10.1007/978-3-540-24595-7_2,,Carsten Gutwenger and Petra Mutzel,Rome Lib,Rome-Lib,,,,https://link.springer.com/content/pdf/10.1007%2F978-3-540-24595-7_2.pdf,2003,comparison,11389,GD 2003,,11389
"A Fast and Simple Heuristic
for Constrained Two-Level Crossing Reduction",No,No,10.1007/978-3-540-31843-9_22,"Layered graphs, two-level crossing minimiazation",Michael Forster,randomly generated,custom (random),,,"used in dagre. Experiment says ""We have tested the im-
plementations using a total number of 37,500 random graphs: 150 graphs for
every combination of the following parameters: |V2|∈{50, 100, 150, 200, 250},
|E|/|V2|∈{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, |C|/|V2|∈{0, 0.25, 0.5, 0.75, 1.0}.""",https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.59.1966&rep=rep1&type=pdf,,,,GD 2004,,
An Experimental Comparison of Fast Algorithms for Drawing General Large Graphs,No,No,10.1007/11618058_22,large,Stefan Hachul and Michael J ̈unger,their own + AT&T + “C. Walshaw’s graph collection”,"C. Walshaw's graph collection, North Lib, custom",,,has some discussion on what they did to generate their own graphs,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.129.685&rep=rep1&type=pdf,2005,comparison,29,GD 2005,,29
Exact Crossing Minimization,No,No,10.1007/11618058_4,,"Christoph Buchheim, Dietmar Ebner, Michael Jünger, Gunnar W. Klau, Petra Mutzel, René Weiskircher",Rome-Lib,Rome-Lib,,,,https://link.springer.com/content/pdf/10.1007/11618058_4.pdf,,,,GD 2005,ILP,
Line Crossing Minimization on Metro Maps,No,No,https://doi.org/10.1007/978-3-540-77537-9_24,"grid layout, terminals","Michael A. Bekos, Michael Kaufmann, Katerina Potika,
and Antonios Symvonis",no experiment,none,,,,https://link.springer.com/content/pdf/10.1007/978-3-540-77537-9_24.pdf,2007,algorithm,,GD 2007,,
Optimal k-level planarization and crossing minimization,No,No,10.5555/1964371.1964394,"Layered graphs, many layers","Gange, Stuckey, Marriott","Self-made (randomly generated), graphviz examples","custom (random), graphviz examples",,,"Used a dataset they randomly generated

To compare speed and effectiveness of the model we ran it on two sets of
graphs. The first set of graphs are all the hierarchical network diagrams appear-
ing in the GraphViz gallery [3]. The second set of graphs are random graphs of
k-levels with n nodes per level and a fixed edge density of 20% (that is each node
is connected on average to 20% of the nodes on the next layer). Problem class
gk n is a suite of 10 randomly generated instances with k levels and n nodes per
level",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.300.5595&rep=rep1&type=pdf,2010,algorithm,23 + 9,GD 2010,ILP,23
Advances in the Planarization Method: Effective Multiple Edge Insertions,No,No,10.1007/978-3-642-25878-7_10,," https://www.researchgate.net/scientific-contributions/Markus-Chimani-20439176?_sg%5B0%5D=ql3CoUwoD-8sDu85UNLnGqD9WcXY9djKPw0y1r0_kc3e6CCgsw3mqrbdKF8wsf1-_VBRCiA.7oT2it0fvzu1wyyn_tNAy6Rmd_SDdaeCuKkr5ijulvjlDJZbMOSxBkzFPjUJBwBwYYQFhgjzZ5_74i_PDwYpxA&_sg%5B1%5D=k6eys1G5BunGCbyHZv-5Jyvg2leYF5Amqoq_7td7V2NsXtmMiEmJUybFU9gLRI0Z_rSaU-8.OGLwx_glH4WMvVnKFEcYHQ6Pi5A2HfJhtWrAl_qcRETNA5sZe7btUGQ7rwzCpFmXePGnzULb3-18gvamyKfqwA
 https://www.researchgate.net/profile/Carsten-Gutwenger?_sg%5B0%5D=ql3CoUwoD-8sDu85UNLnGqD9WcXY9djKPw0y1r0_kc3e6CCgsw3mqrbdKF8wsf1-_VBRCiA.7oT2it0fvzu1wyyn_tNAy6Rmd_SDdaeCuKkr5ijulvjlDJZbMOSxBkzFPjUJBwBwYYQFhgjzZ5_74i_PDwYpxA&_sg%5B1%5D=k6eys1G5BunGCbyHZv-5Jyvg2leYF5Amqoq_7td7V2NsXtmMiEmJUybFU9gLRI0Z_rSaU-8.OGLwx_glH4WMvVnKFEcYHQ6Pi5A2HfJhtWrAl_qcRETNA5sZe7btUGQ7rwzCpFmXePGnzULb3-18gvamyKfqwA","Rome-Lib, AT&T","North Lib, Rome-Lib",,,Has link to dataset but gives 404,https://www.researchgate.net/publication/221557299_Advances_in_the_Planarization_Method_Effective_Multiple_Edge_Insertions,2011,algorithm,"1843 (section of Rome-Lib) + 311 (section of AT&T) ",GD 2011,,1843
Offline Drawing of Dynamic Trees: Algorithmics and Document Integration,No,No,https://doi.org/10.1007/978-3-319-50106-2_44,"dynamic, tree",,no experiment,,,,proof by theorem,https://link.springer.com/content/pdf/10.1007%2F978-3-319-50106-2.pdf,2016,algorithm,,GD 2016,,
Gabriel Triangulations and Angle-Monotone Graphs,No,No,https://doi.org/10.1007/978-3-319-50106-2_40,,,no experiment,,,,"algorithm done through proof
also not a full graph layout algorithm, only talks about a property",https://link.springer.com/content/pdf/10.1007%2F978-3-319-50106-2.pdf,2016,algorithm,,GD 2016,,
Block Crossings in Storyline Visualizations,No,No,https://doi.org/10.1007/978-3-319-50106-2_30,"Layered graphs, temporal event sequence",,random,custom (random),quantitative,aggregate,algorithm is done through proof,https://link.springer.com/content/pdf/10.1007%2F978-3-319-50106-2.pdf,2016,algorithm,1000,GD 2016,,1000
